vendor_id,business_name,business_type,district,has_license,license_valid,license_expiry_date,tax_clearance,previous_experience_years,rating,negative_history,business_category_approved,registration_date,system_decision,rejection_reason
V0015,Business_V0015,unlicensed_taxi,Butha-Buthe,0,0,,1,0,1.4,0,0,2025-12-14 00:41:48.872477,0,Missing business license; Insufficient experience (0 years) and low rating (1.4); Business type 'unlicensed_taxi' not approved by Ministry of Tourism
V0016,Business_V0016,unregistered,Quthing,1,1,2026-09-21 00:41:48.872477,1,0,0.6,0,0,2025-10-31 00:41:48.872477,0,Insufficient experience (0 years) and low rating (0.6); Business type 'unregistered' not approved by Ministry of Tourism
V0017,Business_V0017,street_vendor,Maseru,1,1,2026-06-28 00:41:48.872477,1,6,2.5,0,0,2026-01-18 00:41:48.872477,0,Business type 'street_vendor' not approved by Ministry of Tourism
V0018,Business_V0018,accommodation,Leribe,0,0,,1,4,1.7,0,1,2026-02-15 00:41:48.872477,0,Missing business license
V0019,Business_V0019,transport,Mafeteng,1,1,2026-11-26 00:41:48.873474,1,16,3.6,0,1,2026-01-01 00:41:48.873474,1,
V0020,Business_V0020,transport,Mafeteng,1,1,2026-09-28 00:41:48.873474,0,5,3.5,0,1,2025-04-28 00:41:48.873474,0,Missing tax clearance certificate
V0021,Business_V0021,restaurant,Qacha's Nek,0,0,,1,6,0.9,0,1,2025-05-06 00:41:48.873474,0,Missing business license
V0022,Business_V0022,street_vendor,Thaba-Tseka,1,1,2026-10-05 00:41:48.873474,1,9,1.3,0,0,2025-12-18 00:41:48.873474,0,Business type 'street_vendor' not approved by Ministry of Tourism
V0023,Business_V0023,unregistered,Butha-Buthe,1,1,2027-03-07 00:41:48.873474,0,4,4.5,0,0,2025-08-19 00:41:48.873474,0,Missing tax clearance certificate; Business type 'unregistered' not approved by Ministry of Tourism
V0024,Business_V0024,restaurant,Mokhotlong,1,1,2026-10-06 00:41:48.873474,1,0,3.2,1,1,2025-12-26 00:41:48.873474,0,Insufficient experience (0 years) and low rating (3.2); Has negative history/complaints in system
V0025,Business_V0025,activity_provider,Quthing,1,1,2026-08-14 00:41:48.874476,0,17,0.8,0,1,2025-10-28 00:41:48.874476,0,Missing tax clearance certificate
V0026,Business_V0026,unregistered,Maseru,1,1,2027-02-08 00:41:48.874476,1,7,4.2,0,0,2025-10-15 00:41:48.874476,0,Business type 'unregistered' not approved by Ministry of Tourism
V0027,Business_V0027,restaurant,Leribe,1,1,2026-10-12 00:41:48.874476,0,12,2.4,0,1,2025-07-06 00:41:48.874476,0,Missing tax clearance certificate
V0028,Business_V0028,accommodation,Maseru,1,1,2027-03-20 00:41:48.874476,1,3,0.1,0,1,2025-10-19 00:41:48.874476,1,
V0029,Business_V0029,craft_shop,Mohale's Hoek,0,0,,1,4,4.6,0,1,2026-01-04 00:41:48.874476,0,Missing business license
V0030,Business_V0030,restaurant,Butha-Buthe,0,0,,1,0,1.6,0,1,2025-08-29 00:41:48.874476,0,Missing business license; Insufficient experience (0 years) and low rating (1.6)
V0031,Business_V0031,transport,Thaba-Tseka,1,1,2027-02-11 00:41:48.874476,1,14,5.0,1,1,2025-07-10 00:41:48.875469,0,Has negative history/complaints in system
V0032,Business_V0032,street_vendor,Butha-Buthe,1,1,2026-10-30 00:41:48.875469,1,9,4.0,0,0,2026-03-27 00:41:48.875469,0,Business type 'street_vendor' not approved by Ministry of Tourism
V0033,Business_V0033,unlicensed_taxi,Qacha's Nek,1,1,2027-03-24 00:41:48.875469,1,13,4.0,0,0,2025-11-17 00:41:48.875469,0,Business type 'unlicensed_taxi' not approved by Ministry of Tourism
V0034,Business_V0034,tour_operator,Quthing,1,1,2026-06-27 00:41:48.875469,1,16,0.2,0,1,2025-12-29 00:41:48.875469,1,
V0035,Business_V0035,accommodation,Mafeteng,0,0,,1,11,3.1,1,1,2025-04-24 00:41:48.875469,0,Missing business license; Has negative history/complaints in system
V0036,Business_V0036,restaurant,Berea,1,1,2027-01-31 00:41:48.875469,0,9,1.6,0,1,2026-01-07 00:41:48.875469,0,Missing tax clearance certificate
V0037,Business_V0037,unlicensed_taxi,Thaba-Tseka,1,1,2027-03-21 00:41:48.876474,0,8,3.4,1,0,2026-04-08 00:41:48.876474,0,Missing tax clearance certificate; Business type 'unlicensed_taxi' not approved by Ministry of Tourism; Has negative history/complaints in system
V0038,Business_V0038,tour_operator,Mohale's Hoek,1,1,2026-08-04 00:41:48.876474,1,0,4.8,0,1,2025-07-05 00:41:48.876474,1,
V0039,Business_V0039,unlicensed_taxi,Mafeteng,1,1,2026-08-01 00:41:48.876474,1,13,0.5,1,0,2025-09-17 00:41:48.876474,0,Business type 'unlicensed_taxi' not approved by Ministry of Tourism; Has negative history/complaints in system
V0040,Business_V0040,craft_shop,Mafeteng,1,1,2026-12-15 00:41:48.876474,1,9,4.7,0,1,2025-08-29 00:41:48.877434,1,
V0041,Business_V0041,restaurant,Maseru,1,1,2027-03-28 00:41:48.877434,1,15,0.4,0,1,2025-10-31 00:41:48.877434,1,
V0042,Business_V0042,activity_provider,Maseru,1,1,2026-06-09 00:41:48.877434,1,18,4.1,0,1,2025-10-23 00:41:48.877434,1,
V0043,Business_V0043,tour_operator,Leribe,1,1,2026-12-08 00:41:48.877434,1,7,1.9,0,1,2025-12-15 00:41:48.877434,1,
V0044,Business_V0044,unregistered,Mafeteng,1,1,2026-08-29 00:41:48.877434,1,3,2.1,0,0,2025-04-17 00:41:48.877434,0,Business type 'unregistered' not approved by Ministry of Tourism
V0045,Business_V0045,unregistered,Qacha's Nek,1,1,2026-08-14 00:41:48.877434,1,17,1.3,0,0,2025-10-01 00:41:48.877434,0,Business type 'unregistered' not approved by Ministry of Tourism
V0046,Business_V0046,craft_shop,Mafeteng,1,1,2027-02-10 00:41:48.878432,1,8,1.9,0,1,2025-09-04 00:41:48.878432,1,
V0047,Business_V0047,transport,Mafeteng,1,1,2026-08-15 00:41:48.878432,1,8,4.2,0,1,2025-05-05 00:41:48.878432,1,
V0048,Business_V0048,craft_shop,Qacha's Nek,1,1,2026-06-29 00:41:48.878432,1,6,0.5,0,1,2025-08-29 00:41:48.878432,1,
V0049,Business_V0049,craft_shop,Maseru,1,1,2027-04-03 00:41:48.878432,1,11,3.4,0,1,2025-07-30 00:41:48.878432,1,
V0050,Business_V0050,transport,Berea,1,1,2026-10-24 00:41:48.878432,1,1,0.4,1,1,2025-11-24 00:41:48.879439,0,Insufficient experience (1 years) and low rating (0.4); Has negative history/complaints in system
V0051,Business_V0051,accommodation,Quthing,0,0,,1,6,4.9,0,1,2025-07-31 00:41:48.879439,0,Missing business license
V0052,Business_V0052,restaurant,Berea,0,0,,1,9,4.5,1,1,2025-10-18 00:41:48.879439,0,Missing business license; Has negative history/complaints in system
V0053,Business_V0053,tour_operator,Butha-Buthe,1,1,2027-03-20 00:41:48.879439,0,6,3.7,0,1,2025-09-30 00:41:48.879439,0,Missing tax clearance certificate
V0054,Business_V0054,accommodation,Mohale's Hoek,1,1,2026-09-01 00:41:48.879439,0,11,4.9,0,1,2026-01-19 00:41:48.879439,0,Missing tax clearance certificate
V0055,Business_V0055,transport,Leribe,0,0,,0,3,2.8,0,1,2026-02-21 00:41:48.879439,0,Missing business license; Missing tax clearance certificate
V0056,Business_V0056,unregistered,Thaba-Tseka,1,1,2026-05-08 00:41:48.880428,1,2,4.5,1,0,2025-08-28 00:41:48.880428,0,Business type 'unregistered' not approved by Ministry of Tourism; Has negative history/complaints in system
V0057,Business_V0057,street_vendor,Leribe,1,1,2026-05-15 00:41:48.880428,1,3,2.3,0,0,2026-03-12 00:41:48.880428,0,Business type 'street_vendor' not approved by Ministry of Tourism
V0058,Business_V0058,craft_shop,Berea,0,0,,0,16,1.4,0,1,2025-07-30 00:41:48.880428,0,Missing business license; Missing tax clearance certificate
V0059,Business_V0059,transport,Leribe,0,0,,1,14,4.6,1,1,2025-08-01 00:41:48.880428,0,Missing business license; Has negative history/complaints in system
V0060,Business_V0060,craft_shop,Butha-Buthe,1,1,2026-07-11 00:41:48.880428,1,14,0.8,0,1,2025-05-02 00:41:48.880428,1,
V0061,Business_V0061,accommodation,Qacha's Nek,0,0,,1,2,0.7,1,1,2026-04-03 00:41:48.881430,0,Missing business license; Has negative history/complaints in system
V0062,Business_V0062,accommodation,Berea,1,1,2027-01-21 00:41:48.881430,1,4,3.6,0,1,2025-11-15 00:41:48.881430,1,
V0063,Business_V0063,craft_shop,Leribe,1,1,2026-06-27 00:41:48.881430,1,3,1.1,0,1,2025-04-26 00:41:48.881430,1,
V0064,Business_V0064,street_vendor,Mohale's Hoek,1,1,2026-09-02 00:41:48.881430,0,17,4.3,0,0,2025-08-30 00:41:48.881430,0,Missing tax clearance certificate; Business type 'street_vendor' not approved by Ministry of Tourism
V0065,Business_V0065,unregistered,Quthing,1,1,2026-11-30 00:41:48.881430,1,13,3.5,0,0,2025-09-29 00:41:48.882422,0,Business type 'unregistered' not approved by Ministry of Tourism
V0066,Business_V0066,tour_operator,Quthing,1,1,2027-02-17 00:41:48.882422,1,18,4.5,0,1,2025-05-09 00:41:48.882422,1,
V0067,Business_V0067,unlicensed_taxi,Mokhotlong,1,1,2027-02-16 00:41:48.882422,1,16,2.5,0,0,2026-01-30 00:41:48.882422,0,Business type 'unlicensed_taxi' not approved by Ministry of Tourism
V0068,Business_V0068,tour_operator,Qacha's Nek,1,1,2026-09-10 00:41:48.882422,1,15,1.7,0,1,2025-10-08 00:41:48.882422,1,
V0069,Business_V0069,transport,Thaba-Tseka,1,1,2026-11-07 00:41:48.882422,1,2,2.6,0,1,2026-02-17 00:41:48.882422,1,
V0070,Business_V0070,restaurant,Maseru,0,0,,1,9,0.9,1,1,2025-11-27 00:41:48.882422,0,Missing business license; Has negative history/complaints in system
V0071,Business_V0071,unregistered,Quthing,1,1,2026-07-24 00:41:48.882422,1,8,0.5,0,0,2025-08-13 00:41:48.883419,0,Business type 'unregistered' not approved by Ministry of Tourism
V0072,Business_V0072,street_vendor,Maseru,0,0,,0,16,1.4,0,0,2025-04-19 00:41:48.883419,0,Missing business license; Missing tax clearance certificate; Business type 'street_vendor' not approved by Ministry of Tourism
V0073,Business_V0073,activity_provider,Mokhotlong,1,1,2026-12-07 00:41:48.883419,1,13,2.3,0,1,2026-04-02 00:41:48.883419,1,
V0074,Business_V0074,restaurant,Quthing,0,0,,1,14,0.2,0,1,2025-08-25 00:41:48.883419,0,Missing business license
V0075,Business_V0075,restaurant,Butha-Buthe,1,1,2026-06-04 00:41:48.884417,1,16,1.1,0,1,2025-11-15 00:41:48.884417,1,
V0076,Business_V0076,activity_provider,Mokhotlong,1,1,2026-12-26 00:41:48.884417,1,14,2.9,0,1,2025-08-16 00:41:48.884417,1,
V0077,Business_V0077,restaurant,Quthing,1,1,2026-11-03 00:41:48.884417,1,1,1.2,0,1,2025-08-23 00:41:48.884417,0,Insufficient experience (1 years) and low rating (1.2)
V0078,Business_V0078,unregistered,Mokhotlong,1,1,2026-11-21 00:41:48.884417,1,15,0.8,0,0,2025-06-02 00:41:48.884417,0,Business type 'unregistered' not approved by Ministry of Tourism
V0079,Business_V0079,unregistered,Mafeteng,1,1,2026-06-16 00:41:48.885412,1,5,2.0,0,0,2025-05-09 00:41:48.885412,0,Business type 'unregistered' not approved by Ministry of Tourism
V0080,Business_V0080,transport,Mokhotlong,0,0,,1,5,3.3,0,1,2026-03-14 00:41:48.885412,0,Missing business license
V0081,Business_V0081,restaurant,Maseru,0,0,,1,3,2.1,0,1,2025-11-20 00:41:48.885412,0,Missing business license
V0082,Business_V0082,accommodation,Quthing,1,1,2027-02-24 00:41:48.885412,1,3,1.6,0,1,2025-10-13 00:41:48.885412,1,
V0083,Business_V0083,street_vendor,Mohale's Hoek,1,1,2026-10-26 00:41:48.886411,1,7,4.0,0,0,2025-05-15 00:41:48.886411,0,Business type 'street_vendor' not approved by Ministry of Tourism
V0084,Business_V0084,accommodation,Leribe,1,1,2026-06-14 00:41:48.886411,1,16,4.3,0,1,2025-05-10 00:41:48.886411,1,
V0085,Business_V0085,craft_shop,Mokhotlong,1,0,2026-01-22 00:41:48.886411,1,0,3.7,0,1,2025-07-16 00:41:48.886411,0,License is expired; Insufficient experience (0 years) and low rating (3.7)
V0086,Business_V0086,unregistered,Thaba-Tseka,0,0,,1,2,0.8,0,0,2026-02-06 00:41:48.886411,0,Missing business license; Business type 'unregistered' not approved by Ministry of Tourism
V0087,Business_V0087,activity_provider,Quthing,1,1,2027-02-27 00:41:48.886411,1,7,1.9,0,1,2025-04-21 00:41:48.887408,1,
V0088,Business_V0088,unlicensed_taxi,Berea,1,1,2026-09-29 00:41:48.887408,0,1,2.7,0,0,2026-03-01 00:41:48.887408,0,Missing tax clearance certificate; Insufficient experience (1 years) and low rating (2.7); Business type 'unlicensed_taxi' not approved by Ministry of Tourism
V0089,Business_V0089,restaurant,Mafeteng,1,1,2026-11-02 00:41:48.887408,1,19,4.0,0,1,2025-08-21 00:41:48.887408,1,
V0090,Business_V0090,activity_provider,Mafeteng,0,0,,1,4,3.9,1,1,2026-01-13 00:41:48.887408,0,Missing business license; Has negative history/complaints in system
V0091,Business_V0091,tour_operator,Mafeteng,0,0,,0,0,0.5,0,1,2025-04-09 00:41:48.887408,0,Missing business license; Missing tax clearance certificate; Insufficient experience (0 years) and low rating (0.5)
V0092,Business_V0092,street_vendor,Berea,1,1,2026-09-20 00:41:48.887408,1,14,2.0,0,0,2025-08-09 00:41:48.887408,0,Business type 'street_vendor' not approved by Ministry of Tourism
V0093,Business_V0093,activity_provider,Qacha's Nek,1,1,2026-07-15 00:41:48.887408,0,9,1.7,0,1,2025-06-10 00:41:48.887408,0,Missing tax clearance certificate
V0094,Business_V0094,street_vendor,Mafeteng,1,1,2026-08-26 00:41:48.888405,1,10,4.7,0,0,2025-11-27 00:41:48.888405,0,Business type 'street_vendor' not approved by Ministry of Tourism
V0095,Business_V0095,street_vendor,Mokhotlong,1,1,2026-08-07 00:41:48.888405,1,8,2.1,0,0,2025-06-16 00:41:48.888405,0,Business type 'street_vendor' not approved by Ministry of Tourism
V0096,Business_V0096,transport,Quthing,0,0,,1,4,4.9,0,1,2025-05-31 00:41:48.888405,0,Missing business license
V0097,Business_V0097,accommodation,Mohale's Hoek,0,0,,1,7,3.0,0,1,2025-11-23 00:41:48.888405,0,Missing business license
V0098,Business_V0098,activity_provider,Quthing,0,0,,1,2,2.0,0,1,2025-09-11 00:41:48.888405,0,Missing business license
V0099,Business_V0099,tour_operator,Butha-Buthe,0,0,,1,11,4.6,0,1,2025-10-11 00:41:48.888405,0,Missing business license
V0100,Business_V0100,transport,Mafeteng,1,1,2027-02-16 00:41:48.889403,1,17,3.3,0,1,2025-04-13 00:41:48.889403,1,
V0101,Business_V0101,accommodation,Qacha's Nek,1,1,2026-07-09 00:41:48.889403,0,16,1.5,0,1,2025-09-10 00:41:48.889403,0,Missing tax clearance certificate
V0102,Business_V0102,accommodation,Quthing,1,1,2026-05-26 00:41:48.889403,1,13,3.6,0,1,2025-12-17 00:41:48.890399,1,
V0103,Business_V0103,tour_operator,Berea,1,1,2026-09-16 00:41:48.890399,1,6,3.8,0,1,2025-10-29 00:41:48.890399,1,
V0104,Business_V0104,accommodation,Mokhotlong,1,1,2026-11-01 00:41:48.890399,0,7,0.1,0,1,2025-07-28 00:41:48.890399,0,Missing tax clearance certificate
V0105,Business_V0105,street_vendor,Mokhotlong,1,1,2026-07-13 00:41:48.890399,0,14,3.6,0,0,2026-01-21 00:41:48.891396,0,Missing tax clearance certificate; Business type 'street_vendor' not approved by Ministry of Tourism
V0106,Business_V0106,street_vendor,Qacha's Nek,0,0,,0,19,3.3,0,0,2026-04-02 00:41:48.891396,0,Missing business license; Missing tax clearance certificate; Business type 'street_vendor' not approved by Ministry of Tourism
V0107,Business_V0107,unlicensed_taxi,Maseru,1,1,2026-08-27 00:41:48.891396,1,3,3.2,0,0,2025-06-10 00:41:48.891396,0,Business type 'unlicensed_taxi' not approved by Ministry of Tourism
V0108,Business_V0108,craft_shop,Butha-Buthe,1,1,2026-11-18 00:41:48.891396,1,11,4.2,0,1,2025-08-26 00:41:48.892401,1,
V0109,Business_V0109,craft_shop,Qacha's Nek,1,0,2025-05-01 00:41:48.892401,1,16,4.3,0,1,2025-12-02 00:41:48.892401,0,License is expired
V0110,Business_V0110,accommodation,Quthing,1,1,2026-05-16 00:41:48.892401,1,12,2.0,0,1,2025-08-17 00:41:48.892401,1,
V0111,Business_V0111,activity_provider,Thaba-Tseka,1,0,2025-12-31 00:41:48.892401,1,10,4.1,0,1,2025-04-18 00:41:48.892401,0,License is expired
V0112,Business_V0112,unregistered,Mohale's Hoek,1,1,2026-10-07 00:41:48.893392,1,11,1.0,1,0,2026-03-13 00:41:48.893392,0,Business type 'unregistered' not approved by Ministry of Tourism; Has negative history/complaints in system
V0113,Business_V0113,unregistered,Mohale's Hoek,1,1,2026-08-13 00:41:48.893392,1,6,2.9,0,0,2025-10-01 00:41:48.893392,0,Business type 'unregistered' not approved by Ministry of Tourism
V0114,Business_V0114,tour_operator,Mokhotlong,1,1,2027-03-10 00:41:48.893392,1,18,1.2,0,1,2026-03-29 00:41:48.893392,1,
V0115,Business_V0115,activity_provider,Mokhotlong,1,1,2026-12-20 00:41:48.893392,0,14,4.8,1,1,2025-06-24 00:41:48.893392,0,Missing tax clearance certificate; Has negative history/complaints in system
V0116,Business_V0116,activity_provider,Leribe,1,1,2027-01-06 00:41:48.894388,1,12,0.8,0,1,2026-01-26 00:41:48.894388,1,
V0117,Business_V0117,unregistered,Leribe,1,1,2026-07-07 00:41:48.894388,1,9,2.3,1,0,2025-08-23 00:41:48.894388,0,Business type 'unregistered' not approved by Ministry of Tourism; Has negative history/complaints in system
V0118,Business_V0118,restaurant,Qacha's Nek,1,1,2027-02-06 00:41:48.894388,1,16,0.7,0,1,2025-06-10 00:41:48.894388,1,
V0119,Business_V0119,street_vendor,Quthing,0,0,,1,16,3.3,0,0,2025-09-21 00:41:48.895387,0,Missing business license; Business type 'street_vendor' not approved by Ministry of Tourism
V0120,Business_V0120,unregistered,Thaba-Tseka,0,0,,1,8,4.7,1,0,2026-03-24 00:41:48.895387,0,Missing business license; Business type 'unregistered' not approved by Ministry of Tourism; Has negative history/complaints in system
V0121,Business_V0121,unlicensed_taxi,Butha-Buthe,0,0,,1,6,0.2,0,0,2025-10-15 00:41:48.895387,0,Missing business license; Business type 'unlicensed_taxi' not approved by Ministry of Tourism
V0122,Business_V0122,street_vendor,Berea,0,0,,0,17,3.7,1,0,2025-12-27 00:41:48.895387,0,Missing business license; Missing tax clearance certificate; Business type 'street_vendor' not approved by Ministry of Tourism; Has negative history/complaints in system
V0123,Business_V0123,accommodation,Thaba-Tseka,1,1,2026-08-23 00:41:48.895387,1,1,4.4,0,1,2025-10-08 00:41:48.895387,1,
V0124,Business_V0124,unlicensed_taxi,Thaba-Tseka,1,1,2026-05-11 00:41:48.896382,1,12,3.1,0,0,2025-12-22 00:41:48.896382,0,Business type 'unlicensed_taxi' not approved by Ministry of Tourism
V0125,Business_V0125,tour_operator,Qacha's Nek,1,1,2027-01-13 00:41:48.896382,0,12,1.9,0,1,2025-06-11 00:41:48.897381,0,Missing tax clearance certificate
V0126,Business_V0126,activity_provider,Thaba-Tseka,1,1,2027-03-21 00:41:48.897381,1,15,4.4,0,1,2025-04-15 00:41:48.897381,1,
V0127,Business_V0127,activity_provider,Butha-Buthe,1,1,2026-05-10 00:41:48.897381,1,17,1.5,0,1,2025-09-28 00:41:48.898377,1,
V0128,Business_V0128,craft_shop,Thaba-Tseka,0,0,,1,16,2.0,1,1,2025-06-20 00:41:48.898377,0,Missing business license; Has negative history/complaints in system
V0129,Business_V0129,craft_shop,Qacha's Nek,1,1,2027-03-22 00:41:48.899376,0,10,4.5,0,1,2026-02-16 00:41:48.899376,0,Missing tax clearance certificate
V0130,Business_V0130,activity_provider,Leribe,1,0,2026-02-04 00:41:48.899376,1,18,2.6,0,1,2025-05-31 00:41:48.900373,0,License is expired
V0131,Business_V0131,unregistered,Mafeteng,1,1,2027-01-24 00:41:48.900373,0,14,1.1,0,0,2025-08-11 00:41:48.900373,0,Missing tax clearance certificate; Business type 'unregistered' not approved by Ministry of Tourism
V0132,Business_V0132,restaurant,Mokhotlong,0,0,,1,2,4.1,0,1,2026-01-10 00:41:48.900373,0,Missing business license
V0133,Business_V0133,unregistered,Butha-Buthe,0,0,,0,10,4.4,0,0,2025-09-26 00:41:48.900373,0,Missing business license; Missing tax clearance certificate; Business type 'unregistered' not approved by Ministry of Tourism
V0134,Business_V0134,unregistered,Leribe,0,0,,1,14,3.3,0,0,2025-12-06 00:41:48.901370,0,Missing business license; Business type 'unregistered' not approved by Ministry of Tourism
V0135,Business_V0135,transport,Mohale's Hoek,1,1,2026-08-05 00:41:48.901370,1,4,1.1,0,1,2026-01-18 00:41:48.901370,1,
V0136,Business_V0136,tour_operator,Maseru,1,1,2026-08-30 00:41:48.901370,0,7,3.4,0,1,2025-07-21 00:41:48.902368,0,Missing tax clearance certificate
V0137,Business_V0137,street_vendor,Butha-Buthe,0,0,,1,0,0.8,0,0,2025-10-10 00:41:48.902368,0,Missing business license; Insufficient experience (0 years) and low rating (0.8); Business type 'street_vendor' not approved by Ministry of Tourism
V0138,Business_V0138,activity_provider,Qacha's Nek,1,1,2026-05-14 00:41:48.902368,0,12,4.4,1,1,2025-10-31 00:41:48.903366,0,Missing tax clearance certificate; Has negative history/complaints in system
V0139,Business_V0139,craft_shop,Maseru,1,1,2027-01-20 00:41:48.903366,0,11,0.0,0,1,2025-08-19 00:41:48.903366,0,Missing tax clearance certificate
V0140,Business_V0140,accommodation,Leribe,1,1,2026-10-17 00:41:48.903366,1,18,3.8,0,1,2025-05-25 00:41:48.903366,1,
V0141,Business_V0141,craft_shop,Quthing,1,0,2025-04-21 00:41:48.903366,1,3,1.5,0,1,2025-09-28 00:41:48.904363,0,License is expired
V0142,Business_V0142,transport,Berea,1,1,2027-03-09 00:41:48.904363,0,14,4.8,0,1,2026-04-02 00:41:48.904363,0,Missing tax clearance certificate
V0143,Business_V0143,accommodation,Maseru,1,1,2026-07-04 00:41:48.904363,1,1,1.4,0,1,2025-12-31 00:41:48.904363,0,Insufficient experience (1 years) and low rating (1.4)
V0144,Business_V0144,unregistered,Berea,1,1,2026-10-11 00:41:48.904363,1,1,3.9,0,0,2025-05-07 00:41:48.905361,0,Insufficient experience (1 years) and low rating (3.9); Business type 'unregistered' not approved by Ministry of Tourism
V0145,Business_V0145,street_vendor,Maseru,1,0,2025-04-16 00:41:48.905361,1,5,3.8,0,0,2026-02-10 00:41:48.905361,0,License is expired; Business type 'street_vendor' not approved by Ministry of Tourism
V0146,Business_V0146,transport,Mokhotlong,1,1,2027-03-23 00:41:48.905361,0,11,2.8,0,1,2026-02-08 00:41:48.905361,0,Missing tax clearance certificate
V0147,Business_V0147,unregistered,Qacha's Nek,0,0,,1,14,2.3,0,0,2025-04-25 00:41:48.905361,0,Missing business license; Business type 'unregistered' not approved by Ministry of Tourism
V0148,Business_V0148,craft_shop,Qacha's Nek,0,0,,0,19,4.0,0,1,2025-07-10 00:41:48.906357,0,Missing business license; Missing tax clearance certificate
V0149,Business_V0149,activity_provider,Maseru,1,1,2027-03-22 00:41:48.906357,1,1,4.0,0,1,2026-01-27 00:41:48.906357,0,Insufficient experience (1 years) and low rating (4.0)
V0150,Business_V0150,craft_shop,Quthing,1,1,2026-08-10 00:41:48.906357,1,10,3.5,0,1,2025-07-16 00:41:48.906357,1,
V0151,Business_V0151,transport,Mafeteng,1,1,2026-07-22 00:41:48.906357,0,14,2.5,0,1,2025-10-30 00:41:48.906357,0,Missing tax clearance certificate
V0152,Business_V0152,street_vendor,Mafeteng,1,1,2026-05-09 00:41:48.906357,1,8,1.8,1,0,2025-11-06 00:41:48.906357,0,Business type 'street_vendor' not approved by Ministry of Tourism; Has negative history/complaints in system
V0153,Business_V0153,transport,Maseru,1,0,2026-01-08 00:41:48.907353,1,17,4.1,1,1,2025-04-14 00:41:48.907353,0,License is expired; Has negative history/complaints in system
V0154,Business_V0154,restaurant,Leribe,0,0,,1,8,0.3,0,1,2025-09-17 00:41:48.907353,0,Missing business license
V0155,Business_V0155,street_vendor,Qacha's Nek,0,0,,1,19,1.7,0,0,2026-01-15 00:41:48.907353,0,Missing business license; Business type 'street_vendor' not approved by Ministry of Tourism
V0156,Business_V0156,activity_provider,Qacha's Nek,1,1,2026-05-10 00:41:48.907353,1,9,2.2,0,1,2026-03-28 00:41:48.907353,1,
V0157,Business_V0157,unregistered,Qacha's Nek,0,0,,1,13,1.7,0,0,2025-06-04 00:41:48.907353,0,Missing business license; Business type 'unregistered' not approved by Ministry of Tourism
V0158,Business_V0158,unlicensed_taxi,Berea,1,1,2026-12-04 00:41:48.907353,1,8,2.5,1,0,2026-03-05 00:41:48.907353,0,Business type 'unlicensed_taxi' not approved by Ministry of Tourism; Has negative history/complaints in system
