report_name,page,year,source_type,table_title,topic,content,row_count,column_count,record_key
Perception-Survey-Report-2024,21.0,2024,table,Investing in sustainable tourism practices and responsible tourism initiatives,perception,"to preserve Lesotho's natural and cultural resources seems to be key.
There is an opportunity of the development of Sports Tourism and targeted
marketing campaigns can be developed to host or promote more sporting
events such as international tournaments.
Religious tourism also has potential for growth and development of sites
pilgrimage routes, packages, and festivals can be done to attract this market.
Development and marketing of more family-friendly attractions such as parks
recreational facilities, entertainment centres and homestays can be done in
order to cater for the predominant VFR market.
Increasing and erecting signage is crucial for enhancing the visitor experience
in Lesotho.",11.0,1.0,Perception-Survey-Report-2024|21|Investing in sustainable tourism practices and responsible tourism initiatives
Visitor-Exit-Survey-2016-2017,4.0,2016,table,UNWTO United Nations World Tourism Organization,general_tourism,"UNWTO | United Nations World Tourism Organization
VFR | Visiting Friends and Relatives",2.0,2.0,Visitor-Exit-Survey-2016-2017|4|UNWTO United Nations World Tourism Organization
Visitor-Exit-Survey-2016-2017,9.0,2016,table,Over 90% of all visitor arrivals (day visitors and tourists) live in South Africa. Just over one-quarter (28%) of all visitor arrivals were travelling for Leisu,arrivals,"Over 90% of all visitor arrivals (day visitors and tourists) live in South Africa. Just over one-quarter (28%) of all visitor arrivals were travelling for Leisure purposes, with 11% travelling for Business, and the remaining two-thirds (61%) for Visiting Friends and Relatives (VFR) and Other purposes in 2016. Visitors from Europe and North America predominantly travelled to Lesotho for Leisure (73%), with only 8% travelling for Business and 19% for VFR and Other purposes.",1.0,1.0,Visitor-Exit-Survey-2016-2017|9|Over 90% of all visitor arrivals (day visitors and tourists) live in South Africa. Just over one-quarter (28%) of all visitor arrivals were travelling for Leisu
Visitor-Exit-Survey-2016-2017,9.0,2016,table,Country of Residence,arrivals,"South Africa | 1,081,227 | 90.4%
Zimbabwe | 20,835 | 1.7%
USA | 10,026 | 0.8%
Botswana | 8,972 | 0.8%
Germany | 7.955 | 0.7%
Netherlands | 7,856 | 0.7%
Swaziland | 5,006 | 0.4%
UK | 4,970 | 0.4%
France | 1,791 | 0.1%
Other | 47,576 | 4.0%
Total | 1,196,214 | 100.0%",11.0,6.0,Visitor-Exit-Survey-2016-2017|9|Country of Residence
Visitor-Exit-Survey-2016-2017,10.0,2016,table,Previous Visits to Lesotho,arrivals,"All Overnight Visitors (Tourists)
Over two-thirds (70%) of all tourists had | First Visit To Lesotho No 30% Yes 70%
visited Lesotho before.
Previous visits were highest from South Africa
(74%) and Botswana (69%) residents.
Tourists from the main European and
American markets were less likely to have
visited before: UK (37%), USA (31%)
Netherlands (24%), Germany and France
(19%).
Most VFR arrivals (86%) had visited Lesotho before, and 90% of Religion arrivals had been
before. Only 46% of Leisure arrivals had visited before, whilst 68% of Business arrivals had
been to Lesotho before.
Leisure Tourists
Just over one-half (53%) of Leisure arrivals from South Africa had visited Lesotho before.
Leisure arrivals from other markets were much less likely to have been before – UK (23%)
USA (15%), Germany (11%), Rest of Europe (9%).
South Africa Tourists
Religion arrivals from South Africa were the most likely to have visited Lesotho before
(92%), followed by VFR (87%), Business (70%), and Leisure (53%).",20.0,2.0,Visitor-Exit-Survey-2016-2017|10|Previous Visits to Lesotho
Visitor-Exit-Survey-2016-2017,10.0,2016,table,Provinces where South African Visitors Live,visitor_profile,"One-half (50%) of all South African overnight | South African Visitors North West Mpu 3 m % alanga Lim 2 p % opo The Nort 1 h % ern Cape 4% The Western Cape 5% The Eastern Cape 8% Gauteng KwaZulu- 50% Natal 13% The Free State 14%
tourists lived in Gauteng province, with 14% in
Free State and 13% in KwaZulu-Natal.
Business tourists were much more likely to live
in Gauteng (62%) than those travelling for
other purposes. VFR and Religion tourists
were more widely spread geographically than
those travelling for Leisure and Business, with
strong representation from Gauteng, Free
State, KwaZulu-Natal, and Eastern Cape.",10.0,2.0,Visitor-Exit-Survey-2016-2017|10|Provinces where South African Visitors Live
Visitor-Exit-Survey-2016-2017,13.0,2016,table,Age and Gender of Visitors to Lesotho,arrivals,"All Overnight Visitors (Tourists)
Males accounted for 58% of all
overnight visitors to Lesotho, with
Females making up the remainder
42%.
The largest demographic group to visit
Lesotho were Males aged 35-44 (15%
of all arrivals).
Of the Female arrivals, the largest
group were the 25-34 year olds
accounting for 10%.
Visitors from Africa tended to be more male dominated than those from Europe and North
America.
Visitors from the UK were older than any of the other key markets, with almost over one half
(53%) being over 45 years. Visitors from France and the USA were the youngest with
around one-in-five being under 25.
Leisure visitors were 57% Male, with VFR being 58% and Business 69% male. Tourists
travelling for Religion were predominantly Female (56%).",18.0,1.0,Visitor-Exit-Survey-2016-2017|13|Age and Gender of Visitors to Lesotho
2024-Arrivals-and-Accomodations-Report,21.0,2024,table,"64,1 54,2",general_tourism,"64,1 54,2",1.0,1.0,"2024-Arrivals-and-Accomodations-Report|21|64,1 54,2"
Visitor-Exit-Survey-2016-2017,15.0,2016,table,"Motivations, Sources of Information and Booking Processes",general_tourism,"Leisure Visitors
Almost one-third (30%) of leisure visitors were motivated to visit Lesotho by
Mountains/High Places. A further 22% were motivated by the Scenery. Culture was a
stronger draw for the European and North American markets than those living in Africa.
One quarter (25%) of all leisure visitors sourced information about their trip from Friends and
Relatives. Previous Visits to Lesotho, Websites (not www.visitlesotho.travel) and Guide
Books were used by a further 50% of visitors.
Tourists from Europe were more likely to obtain information from Guide Books than any
other source. Tourists from the USA were most likely to use websites, and were the
strongest users of TripAdvisor and other social media (YouTube, Facebook and Instagram).
Almost all trips were organised by the tourists themselves (93%). Only 10% of leisure
tourists from European markets and the USA used a travel agent or tour operator.",12.0,1.0,"Visitor-Exit-Survey-2016-2017|15|Motivations, Sources of Information and Booking Processes"
Visitor-Exit-Survey-2016-2017,17.0,2016,table,Length of Stay in Lesotho,visitor_profile,"All Overnight Visitors (Tourists)
The average length of stay of all tourists to Lesotho was 5.3 nights.
Tourists from the USA stayed the longest at 12.7 nights, followed by the Rest of Africa (8.4
nights) and Rest of Asia/Pacific (7.2 nights).
Of the key markets, tourists from the UK stayed the second longest at 6 nights, followed by
South Africa at 4.9 nights. Tourists from the Netherlands spent the shortest length of time in
Lesotho, at 2.7 nights.
Leisure tourists stayed an average of 3.5 nights, with Business and VFR tourists spending
an average of 8 nights in Lesotho.
Leisure Tourists
Leisure tourists from the USA stayed
the longest in this group (6.5 nights)
followed by the UK (4.1 nights).
South Africa Tourists
Tourists from South Africa travelling for VFR stayed the longest, at 7.9 nights, followed by
religion at 6.5 nights. Leisure Tourists from South Africa only spent 3.5 nights in Lesotho.",16.0,1.0,Visitor-Exit-Survey-2016-2017|17|Length of Stay in Lesotho
Visitor-Exit-Survey-2016-2017,19.0,2016,table,Places Visited in Lesotho,attractions,"All Overnight Visitors (Tourists)
Katse Dam was the most visited place by overnight visitors (tourists), with 15%. Afri Ski
Sani Pass and Semonkong were all visited by 10% or more.
Whilst Katse Dam was the most popular place for South Africa tourists, Thaba Bosiu was the
most popular place for tourists from Botswana, Malealea, was most popular with tourists
from Netherlands and Germany, and Semonkong was most popular for tourists from the UK
France and USA.
Leisure tourists typically went to Katse Dam, Afri Ski and Sani Pass, whilst VFR tourists
were most likely to visit Thaba Bosiu. Those visiting for Business were most likely to travel
to Mohale Dam, and Religion tourists typically went to Malealea and the Bushmen Paintings.
Leisure Tourists
With the exception of tourists from South Africa, the most popular destination for most
Leisure tourists was Malealea. Afri Ski was most popular with South Africa tourists, and
Semonkong with tourists from the USA.
South Africa Tourists
Almost 50% of all South Africa tourists travelled to Katse Dam, Afri-Ski or Sani Pass. These
were by far the most popular attractions. However, it should be noted that 1 in 5 (20%) VFR
tourists went to Thaba Bosiu, and almost 17% of Business tourists went to Mohale Dam.",18.0,1.0,Visitor-Exit-Survey-2016-2017|19|Places Visited in Lesotho
Visitor-Exit-Survey-2016-2017,21.0,2016,table,Activities in Lesotho,attractions,"All Overnight Visitors (Tourists)
General Sightseeing was the most popular activity of overnight visitors to Lesotho
accounting for 27% of all trips. A further 20% went Hiking, and 11% Pony Trekking.
General Sightseeing was most popular with tourists from Botswana (48%). Hiking was the
most popular activity with almost all the main European markets and the USA.
Amongst Leisure tourists, General Sightseeing accounted for 28% of all activities, followed
by Hiking with 25%. The top two activities for VFR tourists were General Sightseeing (26%)
and Wedding/Funeral (11%), although 50% said they did not participate in any activities.
When considering the main activity only for Leisure tourists, the top five most popular were
General Sightseeing, Hiking, Skiing, 4x4 Trekking and Biking. These are therefore the clear
leisure market activities in Lesotho.
Lesotho offers very different activities at different times of the year. Analysis by month
clearly shows the popularity of Skiing in July-August, Biking in December, fishing in January
April, and Rock Climbing in June-August.
Leisure Tourists
Amongst the Leisure tourists, the top five activities undertaken were: General Sightseeing
Hiking, Pony Trekking, 4x4 Trekking, and Skiing. Biking came in at 6th place (6% of all
visitors). Only 3% of Leisure tourists said they did not participate in any activity.
South Africa Tourists
Amongst South Africa Leisure tourists, the popularity of activities is broadly the same as for
all Leisure visitors, except Biking replaces Pony Trekking in the top five.",21.0,1.0,Visitor-Exit-Survey-2016-2017|21|Activities in Lesotho
Visitor-Exit-Survey-2016-2017,23.0,2016,table,Accommodation Types Used by Visitors to Lesotho,accommodation,"All Overnight Visitors (Tourists)
39% of all overnight visitors stayed in a Hotel/Lodge when visiting Lesotho. A further 33%
stay with Friends/Family, and 10% in Bed and Breakfast.
Tourists from South Africa were almost equally likely to stay in a Hotel/Lodge or with
Friends/Family, whilst those from Botswana were much more likely to stay with
Friends/Family.
Tourists from the European markets strongly preferred Hotel/Lodge as their accommodation.
Almost three-quarters (71%) of Leisure tourists stayed in a Hotel/Lodge, whilst exactly three
quarters (75%) of VFR tourists stayed with Friends/Family. Business tourists mainly
preferred a Hotel/Lodge (62%), although 16% stayed in Bed & Breakfast. Over two-thirds
(69%) of Religion tourists stayed in a Church/School.
Leisure Tourists
Leisure tourists from all the main markets, with the exception of the USA, strongly preferred
Hotel/Lodge accommodation. Leisure tourists from the USA did use Hotel/Lodge
accommodation, but also widely used Bed & Breakfast and Camping accommodation, as
well as staying with Friends/Family.
South Africa Tourists
Whilst tourists from South Africa typically stayed in a Hotel/Lodge or with Friends/Family, a
significant 8% owned a Second Home.",19.0,1.0,Visitor-Exit-Survey-2016-2017|23|Accommodation Types Used by Visitors to Lesotho
Visitor-Exit-Survey-2016-2017,25.0,2016,table,Methods of Transport Used,visitor_profile,"All Overnight Visitors (Tourists)
Private Car/4x4 was the most popular method of transport around Lesotho, used by over
one-half (55%) of all tourists. Public transport was used by a further 24%.
Tourists from Botswana were most likely to use Private Car/4x4 (81%), whilst the main mode
of transport of all the main non-African markets was Hire Car/4x4. Tourists from
Netherlands and Germany were the most likely to rent their own vehicle.
Leisure Tourists
Three-quarters (75%) of tourists travelling for Leisure used Private Car/4x4 to travel around
Lesotho, with 87% of South Africa Leisure tourists using this form of transport. Around two
thirds of European Leisure tourists used Hire Car/4x4, whilst only around one-half of those
from the USA did, with Public Transport being used by 13%.
South Africa Tourists
The purpose of visit of South Africa tourists determined their choice of transport. Nearly all
(87%) of Leisure tourists used Private Car/4x4, whilst VFR (and Religion) tourists were
broadly split 50:50 between Private Car/4x4 and Public Transport. Business tourists mainly
used Private Car/4x4 (42%) and Company Car/4x4 (30%).",16.0,1.0,Visitor-Exit-Survey-2016-2017|25|Methods of Transport Used
Visitor-Exit-Survey-2016-2017,27.0,2016,table,Expenditure in Lesotho,accommodation,"All Overnight Visitors (Tourists)
The average spend per night of all
overnight visitors to Lesotho was M
862.
Of the individual markets, the highest
spenders were the UK (M 1,193)
Netherlands (M 1,019) and USA (M
982).
France was the lowest spending
market (M 784) below South Africa (M
839) and Botswana (M 842).
Average spend on accommodation was M 420, accounting for nearly one-half (49%) of all
spend. Food and drink at M 194 accounted for a further 23%.
Business tourists spent the most, at M 1,468 per night, followed by Leisure tourists at M
1,054.
Leisure Tourists
The highest spending Leisure tourists were from the UK (M 1,146) and South Africa (M
1,068). Leisure tourists spent 55% on accommodation, 21% on Food and Drink, and 8% on
Transport.
Tourists from the UK spent the most on Accommodation, and those from the Netherlands
spent considerably more on Transport. Tourists from South Africa spent the most on Tours
and those from the USA spent the most on Entertainment.
South Africa Tourists
Business tourists from South Africa spent the most, at M 1,463, followed by those travelling
for Leisure at M 1,068. Those visiting for VFR (M 410) and Religion (M 154) spent relatively
little per night.",26.0,1.0,Visitor-Exit-Survey-2016-2017|27|Expenditure in Lesotho
2024-Arrivals-and-Accomodations-Report,22.0,2024,table,160.3 118.3,general_tourism,"160.3 | 118.3
74.7",2.0,2.0,2024-Arrivals-and-Accomodations-Report|22|160.3 118.3
Visitor-Exit-Survey-2016-2017,29.0,2016,table,"Trip Ratings, Recommendations and Satisfaction Ratings",perception,"All Overnight Visitors (Tourists)
Trip Rating
Trip rating was high with 67% of all tourists declaring it Very Enjoyable, and 27% stating
Enjoyable.
The highest satisfaction was amongst the European and North American markets, all
recording 80% or more for Very Enjoyable. The lowest satisfaction ratings were amongst
African markets.
Leisure tourists were considerably more satisfied with their trip than those travelling for VFR
or Business.
Destination Recommendation
83% of all tourists stated that they would Definitely Recommend Lesotho as a destination.
All the key markets scored above 80%, with USA being the highest at 90%.
Tourists travelling for Religion were the most likely to recommend Lesotho, followed by
Leisure and VFR tourists. Business tourists were the least likely to recommend it.
Individual Satisfaction Ratings
Overall, individual satisfaction ratings of services in Lesotho were good, but in order from
most satisfactory to the least satisfactory were: Attractions, Activities, Hospitality, Border
Officials, Border in General, and Roads.
Leisure Tourists
90% of Leisure tourists recorded a satisfaction rating of Very Enjoyable, with UK, France
and USA all recording over 93%.
South Africa Tourists
90% of Leisure tourists from South Africa recorded their trip as Very Enjoyable, compared to
45% of Business tourists. VFR and Religion tourists were roughly in the middle recording
63% and 66% respectively.",25.0,1.0,"Visitor-Exit-Survey-2016-2017|29|Trip Ratings, Recommendations and Satisfaction Ratings"
Visitor-Exit-Survey-2016-2017,35.0,2016,table,732,general_tourism,396 403,1.0,1.0,Visitor-Exit-Survey-2016-2017|35|732
Visitor-Exit-Survey-2016-2017,38.0,2016,table,Leisure,general_tourism,"P rovince | % | % | % | % | %
Gauteng | 52.1 | 42.8 | 62.1 | 37.5 | 49.9
The Free State | 7.7 | 21.3 | 7.4 | 14.8 | 13.8
KwaZulu-Natal | 16.2 | 10.7 | 9.2 | 30.7 | 12.9
The Eastern Cape | 4.8 | 11.5 | 3.2 | 13.6 | 7.7
The Western Cape | 7.8 | 1.5 | 9.7 | 2.3 | 5.3
North West | 3.1 | 6.3 | 4.0 | 0.0 | 4.5
Mpumalanga | 2.9 | 3.3 | 2.0 | 0.0 | 2.7
Limpopo | 3.1 | 1.5 | 1.7 | 0.0 | 1.9
The Northern Cape | 2.3 | 1.2 | 0.7 | 1.1 | 1.4
Total | 100.0 | 100.0 | 100.0 | 100.0 | 100.0",11.0,11.0,Visitor-Exit-Survey-2016-2017|38|Leisure
Visitor-Exit-Survey-2016-2017,39.0,2016,table,Yes,general_tourism,"F irst Visit | % | % | %
South Africa | 26.0 | 74.0 | 100.0
Botswana | 30.8 | 69.2 | 100.0
Netherlands | 76.2 | 23.8 | 100.0
Germany | 81.0 | 19.0 | 100.0
UK | 62.6 | 37.4 | 100.0
France | 81.4 | 18.6 | 100.0
USA | 68.8 | 31.2 | 100.0
Rest of Africa | 49.5 | 50.5 | 100.0
Rest of Europe | 80.9 | 19.1 | 100.0
Rest of Asia/Pacific | 70.8 | 29.2 | 100.0
Rest of World | 74.4 | 25.6 | 100.0
Total | 30.2 | 69.8 | 100.0",13.0,7.0,Visitor-Exit-Survey-2016-2017|39|Yes
Visitor-Exit-Survey-2016-2017,40.0,2016,table,Yes,general_tourism,"F irst Visit | % | % | %
South Africa | 46.7 | 53.3 | 100.0
Netherlands | 81.9 | 18.1 | 100.0
Germany | 88.4 | 11.6 | 100.0
UK | 77.4 | 22.6 | 100.0
France | 84.0 | 16.0 | 100.0
USA | 85.5 | 14.5 | 100.0
Rest of Europe | 91.1 | 8.9 | 100.0
Rest of World | 82.0 | 18.0 | 100.0
Total | 53.8 | 46.2 | 100.0",10.0,7.0,Visitor-Exit-Survey-2016-2017|40|Yes
2024-Arrivals-and-Accomodations-Report,24.0,2024,table,3 .6,general_tourism,3 | .6,1.0,2.0,2024-Arrivals-and-Accomodations-Report|24|3 .6
Visitor-Exit-Survey-2016-2017,41.0,2016,table,South Africa %,general_tourism,"Asia/
Pacific
%
1 | 6.4 | 6.7 | 25.6 | 18.5 | 6.4 | 7.8 | 6.4 | 8.3 | 7.4 | 13.8 | 9.7 | 6.6
2 | 17.4 | 19.5 | 30.0 | 30.2 | 29.9 | 50.1 | 31.6 | 20.7 | 29.4 | 38.7 | 42.9 | 17.9
3 | 14.7 | 16.8 | 23.3 | 28.2 | 12.7 | 26.6 | 12.5 | 17.8 | 9.0 | 6.8 | 9.5 | 14.8
4 | 7.7 | 9.4 | 12.5 | 6.7 | 10.0 | 7.8 | 8.2 | 9.4 | 10.3 | 2.3 | 4.7 | 7.7
5 | 7.9 | 12.1 | 6.5 | 3.3 | 3.7 | 0.0 | 10.7 | 10.6 | 11.7 | 9.0 | 4.7 | 8.0
6 | 2.5 | 5.4 | 0.0 | 3.3 | 9.9 | 0.0 | 2.7 | 1.8 | 4.4 | 9.0 | 4.7 | 2.6
7+ | 43.3 | 30.2 | 2.2 | 9.8 | 27.4 | 7.8 | 27.9 | 31.3 | 27.7 | 20.3 | 23.7 | 42.4
Total | 100.0 | 100.0 | 100.0 | 100.0 | 100.0 | 100.0 | 100.0 | 100.0 | 100.0 | 100.0 | 100.0 | 100.0",11.0,14.0,Visitor-Exit-Survey-2016-2017|41|South Africa %
Visitor-Exit-Survey-2016-2017,41.0,2016,table,Previous,general_tourism,V isits,1.0,1.0,Visitor-Exit-Survey-2016-2017|41|Previous
Visitor-Exit-Survey-2016-2017,41.0,2016,table,South,general_tourism,"Africa
%",2.0,1.0,Visitor-Exit-Survey-2016-2017|41|South
Visitor-Exit-Survey-2016-2017,41.0,2016,table,Botswana,general_tourism,%,1.0,1.0,Visitor-Exit-Survey-2016-2017|41|Botswana
Visitor-Exit-Survey-2016-2017,41.0,2016,table,Nether,general_tourism,"lands
%",2.0,1.0,Visitor-Exit-Survey-2016-2017|41|Nether
Visitor-Exit-Survey-2016-2017,41.0,2016,table,France,general_tourism,%,1.0,1.0,Visitor-Exit-Survey-2016-2017|41|France
Visitor-Exit-Survey-2016-2017,41.0,2016,table,USA,general_tourism,%,1.0,1.0,Visitor-Exit-Survey-2016-2017|41|USA
Visitor-Exit-Survey-2016-2017,41.0,2016,table,Rest of,general_tourism,"Africa
%",2.0,1.0,Visitor-Exit-Survey-2016-2017|41|Rest of
2024-Arrivals-and-Accomodations-Report,25.0,2024,table,17.3 26.8,general_tourism,17.3 | 26.8,1.0,2.0,2024-Arrivals-and-Accomodations-Report|25|17.3 26.8
Visitor-Exit-Survey-2016-2017,41.0,2016,table,Total,general_tourism,%,1.0,1.0,Visitor-Exit-Survey-2016-2017|41|Total
